IATA code,Lat Decimal Degrees,Long Decimal Degrees
ION,1.589,18.047
IOS,-14.816,-39.033
IPC,-27.165,-109.422
IPH,4.568,101.092
IPI,0.862,-77.672
IPL,32.834,-115.579
IPN,-19.471,-42.488
IPT,41.242,-76.921
IQQ,-20.535,-70.181
IQT,-3.785,-73.309
IRD,24.152,89.049
IRI,-7.669,35.752
IRJ,-29.381,-66.796
IRO,10.236,22.717
IRP,2.827,27.588
ISA,-20.664,139.489
ISB,33.616,73.099
ISG,24.344,124.187
ISJ,21.245,-86.74
ISK,19.962,73.807
ISN,48.178,-103.642
ISP,40.795,-73.1
IST,40.977,28.821
ITM,34.785,135.438
ITO,19.72,-155.049
IVC,-46.412,168.313
IVL,68.607,27.405
IWO,24.784,141.322
IXA,23.889,91.241
IXB,26.681,88.328
IXC,30.673,76.788
IXD,25.439,81.734
IXE,12.96,74.893
IXG,15.859,74.618
IXH,24.308,92.007
IXI,27.291,94.097
IXJ,32.69,74.838
IXK,21.317,70.27
IXL,34.136,77.546
IXM,9.834,78.093
IXP,32.234,75.634
IXR,23.315,85.321
IXS,24.913,92.979
IXT,28.066,95.336
IXU,19.863,75.398
IXW,22.812,86.168
IXY,23.113,70.1
IXZ,11.646,92.733
IZO,35.414,132.89
JAA,34.399,70.499
JAD,-32.097,115.881
JAF,9.792,80.07
JAI,26.824,75.81
JAN,32.311,-90.076
JAV,69.233,-51.067
